,Road,enter_Q,time_needed,exit_Q,direction
186,1,299.32999999987277,2,301.259999999871,RIGHT
187,0,302.4599999998699,2,303.96999999986855,RIGHT
188,3,302.73999999986967,3,304.6699999998679,LEFT
189,1,304.599999999868,2,306.51999999986623,STRAIGHT
190,0,305.3299999998673,2,307.4399999998654,STRAIGHT
191,3,307.7399999998651,2,309.67999999986336,STRAIGHT
192,0,308.6199999998643,2,311.6099999998616,STRAIGHT
193,1,309.34999999986366,2,311.6199999998616,RIGHT
194,3,311.139999999862,2,313.07999999986026,STRAIGHT
195,2,311.4099999998618,2,313.33999999986,STRAIGHT
196,0,312.97999999986035,2,316.3499999998573,STRAIGHT
197,2,314.6899999998588,2,316.679999999857,STRAIGHT
198,1,316.28999999985734,2,318.2099999998556,RIGHT
199,0,317.59999999985615,3,320.44999999985356,LEFT
200,2,318.4499999998554,2,320.45999999985355,STRAIGHT
201,3,319.1799999998547,2,321.09999999985297,STRAIGHT
202,0,321.54999999985256,2,323.99999999985033,STRAIGHT
203,3,322.4099999998518,2,324.41999999984995,RIGHT
204,1,322.44999999985174,2,324.42999999984994,STRAIGHT
205,2,325.3499999998491,2,327.1199999998475,STRAIGHT
206,3,325.61999999984886,3,327.9099999998468,LEFT
207,1,327.38999999984725,2,329.2999999998455,STRAIGHT
208,2,329.04999999984574,2,330.959999999844,STRAIGHT
209,3,330.5299999998444,2,332.45999999984264,STRAIGHT
210,1,332.039999999843,2,333.9599999998413,STRAIGHT
211,2,333.54999999984165,2,335.4799999998399,STRAIGHT
212,0,335.5999999998398,2,337.50999999983804,STRAIGHT
213,2,336.6699999998388,2,339.0099999998367,RIGHT
214,3,337.4299999998381,2,339.34999999983637,STRAIGHT
215,0,339.5399999998362,2,341.45999999983445,RIGHT
216,3,341.11999999983476,3,343.039999999833,LEFT
217,0,342.89999999983314,2,344.85999999983136,STRAIGHT
218,1,343.19999999983287,2,345.1199999998311,RIGHT
219,0,346.16999999983017,2,347.7599999998287,STRAIGHT
220,1,348.4199999998281,2,349.9699999998267,STRAIGHT
221,0,348.9699999998276,3,350.9899999998258,LEFT
222,2,349.2199999998274,3,351.14999999982564,LEFT
223,2,352.4899999998244,2,354.3499999998227,RIGHT
224,1,353.00999999982395,3,354.9299999998222,LEFT
225,0,355.63999999982155,3,357.5599999998198,LEFT
226,1,356.1299999998211,2,358.3499999998191,RIGHT
227,2,357.50999999981985,2,359.4299999998181,STRAIGHT
228,1,359.6599999998179,2,361.749999999816,STRAIGHT
229,0,360.60999999981703,2,362.5299999998153,STRAIGHT
230,2,362.21999999981557,2,364.1599999998138,RIGHT
231,3,362.7499999998151,2,364.67999999981333,RIGHT
232,0,365.2599999998128,3,366.9399999998113,LEFT
233,2,367.9099999998104,2,369.82999999980865,RIGHT
234,0,368.1499999998102,2,370.16999999980834,STRAIGHT
235,1,368.95999999980944,2,370.8999999998077,STRAIGHT
236,3,371.9599999998067,3,373.68999999980514,LEFT
237,1,372.2099999998065,2,374.22999999980465,STRAIGHT
238,3,375.0799999998039,2,376.9999999998021,STRAIGHT
239,3,378.08999999980114,2,379.4299999997999,STRAIGHT
240,1,378.3799999998009,3,380.3099999997991,LEFT
241,0,379.4399999997999,2,381.3499999997982,RIGHT
242,3,380.6799999997988,2,382.68999999979695,STRAIGHT
243,1,383.2799999997964,2,385.20999999979466,STRAIGHT
244,3,383.8399999997959,3,386.6199999997934,LEFT
245,3,387.9199999997922,2,390.28999999979004,STRAIGHT
246,2,388.41999999979174,3,390.34999999979,LEFT
247,3,391.50999999978893,2,393.629999999787,RIGHT
248,1,391.6399999997888,2,393.639999999787,RIGHT
249,2,391.69999999978876,2,393.68999999978695,STRAIGHT
